Date,EUtranCell,PSData,Users,Vendor,region,PID
2019-01-13,LM0145008F1A,1.48,1.716,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-13,LM0145018F1A,3.31,4.258,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-13,LM0145018F1B,2.17,3.505,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-13,LM0145018F1C,1.75,2.629,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-13,LM0145026F1B,3.35,4.221,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-13,LM0150008F1C,7.12,6.964,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-13,LM0151008F1A,1.1,1.118,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-13,LM0151008F1B,0.23,0.338,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-13,LM0151018F1A,13.48,13.627,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-13,LM0151018F1B,9.6,9.338,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-13,LM0151018F1C,21.68,20.741,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-13,LM0387008F1A,1.16,1.977,Huawei, Royal Hospital (IBS),M0387
2019-01-13,LM0387008F1C,0.59,0.468,Huawei, Royal Hospital (IBS),M0387
2019-01-13,LM0387018F1B,61.29,61.225,Huawei, Royal Hospital (IBS),M0387
2019-01-13,LM1043018F1A,55.02,57.933,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-13,LM1043018F1B,5.29,5.545,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-14,LM0136008F1A,2.58,2.166,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-14,LM0136008F1B,1.55,1.434,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-14,LM0136018F1C,6.38,7.599,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-14,LM0140008F1B,1.43,1.589,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-14,LM0145008F1A,1.05,1.625,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-14,LM0145018F1A,2.68,3.467,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-14,LM0145018F1B,2.01,2.936,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-14,LM0145018F1C,1.12,1.843,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-14,LM0145026F1B,2.8,4.623,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-14,LM0150008F1C,8.54,10.177,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-14,LM0151008F1A,1.55,1.139,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-14,LM0151008F1B,0.37,0.394,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-14,LM0151018F1A,11.46,13.203,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-14,LM0151018F1B,6.36,8.157,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-14,LM0151018F1C,23.09,20.927,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-14,LM0387008F1A,4.53,3.019,Huawei, Royal Hospital (IBS),M0387
2019-01-14,LM0387008F1C,0.39,0.463,Huawei, Royal Hospital (IBS),M0387
2019-01-14,LM0387018F1B,64.24,63.985,Huawei, Royal Hospital (IBS),M0387
2019-01-14,LM1043018F1A,48.87,58.049,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-14,LM1043018F1B,5.21,6.436,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-15,LM0136008F1A,2.59,2.42,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-15,LM0136008F1B,1.37,1.407,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-15,LM0136018F1C,9.25,9.588,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-15,LM0140008F1B,2.21,1.886,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-15,LM0145008F1A,0.89,1.55,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-15,LM0145018F1A,1.81,3.428,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-15,LM0145018F1B,1.8,2.957,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-15,LM0145018F1C,1.97,2.494,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-15,LM0145026F1B,2.81,3.929,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-15,LM0150008F1C,7.81,8.481,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-15,LM0151008F1A,1.26,1.056,Huawei,SQU (Sultan Qaboos University),M0151
