sales_date,brand_name,total_devices,total_upfront_amount,total_full_device_amount
2020-06-27,HUAWEI,2,150.0,718.0
2020-06-27,OPPO,1,0.0,314.0
2020-06-27,Samsung,3,60.0,1325.0
2020-06-28,Apple,41,1770.0,17861.0
2020-06-28,HUAWEI,2,100.0,747.0
2020-06-28,Samsung,4,160.0,1775.0
2020-06-29,Apple,43,2390.0,19161.0
2020-06-29,HUAWEI,1,30.0,399.0
2020-06-29,Samsung,4,220.0,1850.0
2020-06-30,Apple,45,1760.0,19589.0
2020-06-30,HUAWEI,1,30.0,359.0
2020-06-30,Samsung,1,100.0,400.0
2020-07-01,Apple,50,2580.0,21630.0
2020-07-01,HUAWEI,3,60.0,1077.0
2020-07-01,Samsung,6,220.0,2387.0
2020-07-02,Apple,69,2540.0,29941.0
2020-07-02,HUAWEI,2,130.0,718.0
2020-07-02,Samsung,1,30.0,579.0
2020-07-03,Apple,14,550.0,5942.0
2020-07-03,HUAWEI,2,50.0,758.0
2020-07-04,Apple,31,1200.0,13011.0
2020-07-04,HUAWEI,3,160.0,1077.0
2020-07-05,Apple,35,1480.0,15593.0
2020-07-05,Samsung,4,220.0,1850.0
2020-07-06,Apple,60,2594.0,25495.0
2020-07-06,HUAWEI,2,30.0,718.0
2020-07-06,Samsung,7,170.0,3150.0
2020-07-07,Apple,33,1530.0,14726.0
2020-07-07,HUAWEI,2,0.0,1358.0
2020-07-07,Samsung,8,370.0,3400.0
2020-07-08,Apple,42,2330.0,17968.0
2020-07-08,HUAWEI,2,180.0,718.0
2020-07-08,Samsung,4,220.0,1687.0
2020-07-09,Apple,62,3110.0,25637.0
2020-07-09,HUAWEI,3,60.0,1797.0
2020-07-09,Samsung,4,220.0,1762.0
2020-07-10,Apple,18,650.0,8051.0
2020-07-10,HUAWEI,1,30.0,388.0
2020-07-10,Samsung,3,130.0,1287.0
2020-07-11,Apple,20,890.0,9113.0
2020-07-11,Samsung,1,0.0,475.0
2020-07-12,Apple,36,1510.0,15195.0
2020-07-12,Samsung,3,150.0,1350.0
2020-07-13,Apple,35,1630.0,15438.0
2020-07-13,HUAWEI,3,30.0,1077.0
2020-07-13,Samsung,2,100.0,800.0
2020-07-14,Apple,34,1720.0,14550.0
2020-07-14,HUAWEI,2,60.0,1398.0
2020-07-14,Samsung,4,160.0,2065.0
2020-07-15,Apple,32,1230.0,14158.0
2020-07-15,HUAWEI,3,120.0,1077.0
2020-07-15,Samsung,6,130.0,2725.0
2020-07-16,Apple,33,1380.0,13920.0
2020-07-16,Samsung,8,300.0,3442.0
2020-07-17,Apple,7,450.0,2913.0
2020-07-17,Samsung,3,30.0,1405.0
2020-07-18,Apple,17,954.0,7019.0
2020-07-18,HUAWEI,1,30.0,399.0
2020-07-18,Samsung,3,90.0,1530.0
2020-07-19,Apple,25,920.0,11105.0
2020-07-19,HUAWEI,1,50.0,359.0
2020-07-19,Samsung,6,180.0,2557.0
2020-07-20,Apple,15,730.0,5672.0
2020-07-20,HUAWEI,1,30.0,262.0
2020-07-20,Samsung,1,60.0,337.0
2020-07-21,Apple,25,1560.0,9847.0
2020-07-21,Samsung,8,460.0,3914.0
2020-07-22,Apple,37,1720.0,15566.0
2020-07-22,Samsung,7,120.0,3222.0
2020-07-23,Apple,40,1850.0,16171.0
2020-07-23,HUAWEI,2,120.0,747.0
2020-07-23,Samsung,6,190.0,2725.0
2020-07-24,Apple,17,950.0,7789.0
2020-07-24,HUAWEI,1,100.0,262.0
2020-07-24,Samsung,5,230.0,2255.0
2020-07-25,Apple,17,1020.0,6952.0
2020-07-25,HUAWEI,1,0.0,262.0
2020-07-25,Samsung,2,470.0,740.0
2020-07-26,Apple,19,780.0,8441.0
2020-07-26,Samsung,1,5.0,555.0
2020-07-27,Apple,22,1250.0,9559.0
2020-07-27,HUAWEI,3,90.0,1717.0
2020-07-27,Samsung,1,30.0,450.0
2020-07-28,Apple,16,680.0,6581.0
2020-07-28,HUAWEI,1,50.0,359.0
2020-07-28,Samsung,4,30.0,1725.0
2020-07-29,Apple,20,1000.0,8376.0
2020-07-29,Samsung,4,190.0,1905.0
2020-07-30,Apple,4,190.0,1636.0
2020-07-31,Apple,1,0.0,434.0
2020-07-31,Samsung,1,30.0,400.0
2020-08-01,Apple,6,250.0,2352.0
2020-08-01,Samsung,2,130.0,900.0
2020-08-02,Apple,5,240.0,1964.0
2020-08-03,Apple,10,390.0,4149.0
2020-08-03,Samsung,3,80.0,1609.0
2020-08-04,Apple,8,320.0,3660.0
2020-08-04,Samsung,2,60.0,955.0
2020-08-05,Apple,11,660.0,4459.0
2020-08-05,Samsung,8,290.0,3720.0
2020-08-06,Apple,6,320.0,2673.0
2020-08-06,HUAWEI,1,0.0,399.0
2020-08-06,Samsung,19,1040.0,9702.0
2020-08-07,Apple,4,320.0,1195.0
2020-08-07,Samsung,8,290.0,3509.0
2020-08-08,Apple,4,60.0,1570.0
2020-08-08,Samsung,5,280.0,2590.0
2020-08-09,Apple,16,430.0,6050.0
2020-08-09,HUAWEI,2,30.0,758.0
2020-08-09,Samsung,13,320.0,6882.0
2020-08-10,Apple,25,1010.0,8803.0
2020-08-10,Samsung,10,490.0,4974.0
2020-08-11,Apple,18,750.0,7325.0
2020-08-11,Samsung,5,758.0,2664.0
2020-08-12,Apple,19,910.0,8432.0
2020-08-12,Samsung,8,360.0,4403.0
2020-08-13,Apple,20,1020.0,8481.0
2020-08-13,HUAWEI,1,0.0,262.0
2020-08-13,Samsung,20,910.0,9238.0
2020-08-14,Apple,18,740.0,7568.0
2020-08-14,Samsung,2,0.0,1110.0
2020-08-15,Apple,13,650.0,5884.0
2020-08-15,Samsung,3,120.0,1318.0
2020-08-16,Apple,28,1230.0,12373.0
2020-08-16,HUAWEI,2,160.0,718.0
2020-08-16,Samsung,10,210.0,4786.0
2020-08-17,1+,1,0.0,375.0
2020-08-17,Apple,23,1200.0,10450.0
2020-08-17,Samsung,10,470.0,4770.0
2020-08-18,Apple,58,2700.0,25683.0
2020-08-18,HUAWEI,1,0.0,359.0
2020-08-18,Samsung,7,230.0,3275.0
2020-08-19,Apple,46,2200.0,19351.0
2020-08-19,Samsung,7,250.0,3445.0
2020-08-20,Apple,60,2580.0,26902.0
2020-08-20,HUAWEI,3,130.0,1117.0
2020-08-20,Samsung,10,330.0,4633.0
2020-08-21,Apple,16,790.0,7075.0
2020-08-21,Samsung,4,160.0,2004.0
2020-08-22,Apple,20,980.0,9241.0
2020-08-22,Samsung,2,0.0,993.0
2020-08-23,Apple,21,900.0,8476.0
2020-08-23,Samsung,5,280.0,2446.0
2020-08-24,Apple,23,1160.0,10116.0
2020-08-24,Samsung,11,470.0,5447.0
2020-08-25,Apple,39,1790.0,17139.0
2020-08-25,Samsung,4,60.0,1928.0
2020-08-26,Apple,36,1790.0,15739.0
2020-08-26,HUAWEI,1,30.0,359.0
2020-08-26,Samsung,8,160.0,3597.0
2020-08-27,Apple,40,2210.0,18007.0
2020-08-27,Samsung,2,120.0,918.0
2020-08-28,Apple,10,150.0,4520.0
2020-08-29,Apple,16,800.0,6780.0
2020-08-29,Samsung,1,30.0,518.0
2020-08-30,Apple,25,1680.0,11235.0
2020-08-30,Samsung,8,360.0,3802.0
2020-08-31,Apple,37,1590.0,16421.0
2020-08-31,HUAWEI,2,30.0,1358.0
2020-08-31,Samsung,9,240.0,4562.0
2020-09-01,1+,1,0.0,375.0
2020-09-01,Apple,34,1940.0,14672.0
2020-09-01,Samsung,8,510.0,4144.0
2020-09-02,1+,1,30.0,375.0
2020-09-02,Apple,38,1620.0,16177.0
2020-09-02,HUAWEI,1,30.0,359.0
2020-09-02,Samsung,10,430.0,4994.0
2020-09-03,Apple,32,1500.0,13695.0
